file_name_id	Major.clade
lachancea_thermotolerans.max.cds	Saccharomycetaceae
lachancea_waltii.max.cds	Saccharomycetaceae
lipomyces_starkeyi.max.cds	Lipomycetaceae
lodderomyces_elongisporus.max.cds	CUG-Ser1
metschnikowia_aberdeeniae.max.cds	CUG-Ser1
metschnikowia_arizonensis.max.cds	CUG-Ser1
metschnikowia_bicuspidata.max.cds	CUG-Ser1
metschnikowia_borealis.max.cds	CUG-Ser1
metschnikowia_bowlesiae.max.cds	CUG-Ser1
metschnikowia_cerradonensis.max.cds	CUG-Ser1
metschnikowia_continentalis.max.cds	CUG-Ser1
metschnikowia_dekortum.max.cds	CUG-Ser1
metschnikowia_drakensbergensis.max.cds	CUG-Ser1
metschnikowia_hamakuensis.max.cds	CUG-Ser1
metschnikowia_hawaiiensis.max.cds	CUG-Ser1
metschnikowia_hibisci.max.cds	CUG-Ser1
metschnikowia_ipomoeae.max.cds	CUG-Ser1
metschnikowia_kamakouana.max.cds	CUG-Ser1
metschnikowia_kipukae.max.cds	CUG-Ser1
metschnikowia_lockheadii.max.cds	CUG-Ser1
metschnikowia_matae.max.cds	CUG-Ser1
metschnikowia_matae_maris.max.cds	CUG-Ser1
metschnikowia_mauinuiana.max.cds	CUG-Ser1
metschnikowia_proteae.max.cds	CUG-Ser1
metschnikowia_santaceciliae.max.cds	CUG-Ser1
metschnikowia_shivogae.max.cds	CUG-Ser1
metschnikowia_similis.max.cds	CUG-Ser1
meyerozyma_guilliermondii.max.cds	CUG-Ser1
millerozyma_acaciae.max.cds	CUG-Ser1
nadsonia_fulvescens_var_elongata.max.cds	Dipodascaceae/Trichomonascaceae
nakaseomyces_bacillisporus.max.cds	Saccharomycetaceae
nakaseomyces_bracarensis.max.cds	Saccharomycetaceae
nakaseomyces_castellii.max.cds	Saccharomycetaceae
nakaseomyces_delphensis.max.cds	Saccharomycetaceae
nakaseomyces_nivariensis.max.cds	Saccharomycetaceae
nakazawaea_peltata.max.cds	CUG-Ala
naumovozyma_castellii.max.cds	Saccharomycetaceae
naumovozyma_dairenensis.max.cds	Saccharomycetaceae
ogataea_methanolica.max.cds	Pichiaceae
ogataea_parapolymorpha.max.cds	Pichiaceae
ogataea_polymorpha.max.cds	Pichiaceae
pachysolen_tannophilus.max.cds	CUG-Ala
pichia_membranifaciens.max.cds	Pichiaceae
priceomyces_haplophilus.max.cds	CUG-Ser1
saccharomyces_arboricola.max.cds	Saccharomycetaceae
saccharomyces_cerevisiae.max.cds	Saccharomycetaceae
saccharomyces_eubayanus.max.cds	Saccharomycetaceae
saccharomyces_kudriavzevii.max.cds	Saccharomycetaceae
saccharomyces_mikatae.max.cds	Saccharomycetaceae
saccharomyces_paradoxus.max.cds	Saccharomycetaceae
saccharomyces_uvarum.max.cds	Saccharomycetaceae
saccharomycopsis_malanga.max.cds	CUG-Ser2
saprochaete_clavata.max.cds	Dipodascaceae/Trichomonascaceae
scheffersomyces_lignosus.max.cds	CUG-Ser1
scheffersomyces_stipitis.max.cds	CUG-Ser1
spathaspora_arborariae.max.cds	CUG-Ser1
spathaspora_girioi.max.cds	CUG-Ser1
spathaspora_gorwiae.max.cds	CUG-Ser1
spathaspora_hagerdaliae.max.cds	CUG-Ser1
spathaspora_passalidarum.max.cds	CUG-Ser1
sporopachydermia_quercuum.max.cds	Sporopachydermia clade
starmerella_bombicola_JCM9596.max.cds	Dipodascaceae/Trichomonascaceae
sugiyamaella_lignohabitans.max.cds	Dipodascaceae/Trichomonascaceae
tetrapisispora_blattae.max.cds	Saccharomycetaceae
tetrapisispora_phaffii.max.cds	Saccharomycetaceae
tortispora_caseinolytica.max.cds	Trigonopsidaceae
torulaspora_delbrueckii.max.cds	Saccharomycetaceae
vanderwaltozyma_polyspora.max.cds	Saccharomycetaceae
wickerhamia_fluorescens.max.cds	CUG-Ser1
wickerhamiella_domercqiae.max.cds	Dipodascaceae/Trichomonascaceae
wickerhamomyces_anomalus.max.cds	Phaffomycetaceae
wickerhamomyces_ciferrii.max.cds	Phaffomycetaceae
yarrowia_deformans.max.cds	Dipodascaceae/Trichomonascaceae
yarrowia_keelungensis.max.cds	Dipodascaceae/Trichomonascaceae
yarrowia_lipolytica.max.cds	Dipodascaceae/Trichomonascaceae
yHAB132_kazachstania_martiniae_160519.max.cds	Saccharomycetaceae
yHAB133_kazachstania_unispora_160519.max.cds	Saccharomycetaceae
yHAB134_kazachstania_turicensis_160519.max.cds	Saccharomycetaceae
yHAB136_kazachstania_bromeliacearum_160519.max.cds	Saccharomycetaceae
yHAB143_kazachstania_siamensis_160519.max.cds	Saccharomycetaceae
yHAB147_kazachstania_taianensis_160519.max.cds	Saccharomycetaceae
yHAB148_kazachstania_intestinalis_160519.max.cds	Saccharomycetaceae
yHAB153_kazachstania_rosinii_160519.max.cds	Saccharomycetaceae
yHAB154_kazachstania_transvaalensis_160519.max.cds	Saccharomycetaceae
yHAB155_kazachstania_spencerorum_160519.max.cds	Saccharomycetaceae
yHAB158_kazachstania_viticola_160519.max.cds	Saccharomycetaceae
yHAB159_kazachstania_solicola_160519.max.cds	Saccharomycetaceae
yHAB160_kazachstania_kunashirensis_160519.max.cds	Saccharomycetaceae
yHAB164_kazachstania_aerobia_160519.max.cds	Saccharomycetaceae
yHAB166_kazachstania_yakushimaensis_160519.max.cds	Saccharomycetaceae
yHMPu5000026124_ogataea_henricii_160519.max.cds	Pichiaceae
yHMPu5000026137_ambrosiozyma_ambrosiae_160519.max.cds	Pichiaceae
yHMPu5000026142_citeromyces_matritensis_160519.max.cds	Pichiaceae
yHMPu5000026145_ambrosiozyma_vanderkliftii_160519.max.cds	Pichiaceae
yHMPu5000026152_torulaspora_franciscae_160519.max.cds	Saccharomycetaceae
yHMPu5000026197_brettanomyces_custersianus_160519.max.cds	Pichiaceae
yHMPu5000026256_zygotorulaspora_mrakii_161215.max.cds	Saccharomycetaceae
yHMPu5000026274_komagataella_populi_160519.max.cds	Pichiaceae
yHMPu5000034594_starmera_quercuum_160519.max.cds	Phaffomycetaceae
yHMPu5000034597_candida_stellimalicola_160519.max.cds	Phaffomycetaceae
yHMPu5000034604_sporopachydermia_lactativora_160519.max.cds	Sporopachydermia clade
yHMPu5000034605_spencermartinsiella_europaea_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034606_priceomyces_medius_160519.max.cds	CUG-Ser1
yHMPu5000034607_saccharomycopsis_capsularis_160519.max.cds	CUG-Ser2
yHMPu5000034610_saturnispora_hagleri_160519.max.cds	Pichiaceae
yHMPu5000034611_saturnispora_mendoncae_160519.max.cds	Pichiaceae
yHMPu5000034612_saturnispora_saitoi_160519.max.cds	Pichiaceae
yHMPu5000034613_saturnispora_serradocipensis_160519.max.cds	Pichiaceae
yHMPu5000034614_saturnispora_silvae_160519.max.cds	Pichiaceae
yHMPu5000034615_saturnispora_zaruensis_160519.max.cds	Pichiaceae
yHMPu5000034622_pichia_occidentalis_160519.max.cds	Pichiaceae
yHMPu5000034623_pichia_norvegensis_160519.max.cds	Pichiaceae
yHMPu5000034624_pichia_nakasei_160519.max.cds	Pichiaceae
yHMPu5000034625_pichia_kudriavzevii_160519.max.cds	Pichiaceae
yHMPu5000034627_pichia_heedii_160519.max.cds	Pichiaceae
yHMPu5000034629_pichia_exigua_160519.max.cds	Pichiaceae
yHMPu5000034631_martiniozyma_abiesophila_161215.max.cds	Pichiaceae
yHMPu5000034632_candida_athensensis_160519.max.cds	CUG-Ser1
yHMPu5000034635_nadsonia_fulvescens_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034636_ogataea_nitratoaversa_160519.max.cds	Pichiaceae
yHMPu5000034637_ogataea_populiabae_160519.max.cds	Pichiaceae
yHMPu5000034643_candida_schatavii_160519.max.cds	CUG-Ser1
yHMPu5000034646_wickerhamiella_cacticola_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034648_candida_restingae_160519.max.cds	CUG-Ser1
yHMPu5000034654_aciculoconidium_aculeatum_160519.max.cds	CUG-Ser1
yHMPu5000034655_botryozyma_nematodophila_160519.max.cds	Trigonopsidaceae
yHMPu5000034660_diddensiella_caesifluorescens_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034661_dipodascus_albidus_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034665_kodamaea_laetipori_160519.max.cds	CUG-Ser1
yHMPu5000034667_blastobotrys_serpentis_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034669_blastobotrys_raffinofermentans_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034670_blastobotrys_proliferans_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034671_blastobotrys_peoriensis_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034673_blastobotrys_nivea_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034674_blastobotrys_muscicola_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034675_blastobotrys_mokoenaii_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034681_blastobotrys_americana_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034709_kluyveromyces_aestuarii_160519.max.cds	Saccharomycetaceae
yHMPu5000034710_kluyveromyces_dobzhanskii_160519.max.cds	Saccharomycetaceae
yHMPu5000034742_lipomyces_suomiensis_160519.max.cds	Lipomycetaceae
yHMPu5000034748_lipomyces_oligophaga_160519.max.cds	Lipomycetaceae
yHMPu5000034749_lipomyces_mesembrius_160519.max.cds	Lipomycetaceae
yHMPu5000034754_lipomyces_arxii_160519.max.cds	Lipomycetaceae
yHMPu5000034757_lipomyces_doorenjongii_160519.max.cds	Lipomycetaceae
yHMPu5000034758_lipomyces_japonicus_160519.max.cds	Lipomycetaceae
yHMPu5000034760_lipomyces_kononenkoae_160519.max.cds	Lipomycetaceae
yHMPu5000034761_lipomyces_lipofer_160519.max.cds	Lipomycetaceae
yHMPu5000034862_zygotorulaspora_florentina_160519.max.cds	Saccharomycetaceae
yHMPu5000034865_zygosaccharomyces_kombuchaensis_160519.max.cds	Saccharomycetaceae
yHMPu5000034866_zygosaccharomyces_bisporus_160519.max.cds	Saccharomycetaceae
yHMPu5000034875_tetrapisispora_fleetii_160519.max.cds	Saccharomycetaceae
yHMPu5000034876_tetrapisispora_iriomotensis_160519.max.cds	Saccharomycetaceae
yHMPu5000034877_tetrapisispora_namnaonensis_160519.max.cds	Saccharomycetaceae
yHMPu5000034881_torulaspora_pretoriensis_160519.max.cds	Saccharomycetaceae
yHMPu5000034883_peterozyma_xylosa_160519.max.cds	CUG-Ala
yHMPu5000034884_peterozyma_toletana_160519.max.cds	CUG-Ala
yHMPu5000034885_ogataea_zsoltii_160519.max.cds	Pichiaceae
yHMPu5000034886_ogataea_trehalophila_160519.max.cds	Pichiaceae
yHMPu5000034887_ogataea_trehaloabstinens_160519.max.cds	Pichiaceae
yHMPu5000034890_ogataea_ramenticola_160519.max.cds	Pichiaceae
yHMPu5000034891_ogataea_pini_160519.max.cds	Pichiaceae
yHMPu5000034892_ogataea_pilisensis_160519.max.cds	Pichiaceae
yHMPu5000034893_ogataea_philodendra_160519.max.cds	Pichiaceae
yHMPu5000034897_ogataea_glucozyma_160519.max.cds	Pichiaceae
yHMPu5000034899_ogataea_kodamae_160519.max.cds	Pichiaceae
yHMPu5000034901_ogataea_methylivora_160519.max.cds	Pichiaceae
yHMPu5000034902_ogataea_minuta_160519.max.cds	Pichiaceae
yHMPu5000034903_ogataea_naganishii_160519.max.cds	Pichiaceae
yHMPu5000034904_ogataea_nonfermentans_160519.max.cds	Pichiaceae
yHMPu5000034918_nakazawaea_holstii_160519.max.cds	CUG-Ala
yHMPu5000034932_kuraishia_ogatae_160519.max.cds	Pichiaceae
yHMPu5000034933_kuraishia_molischiana_160519.max.cds	Pichiaceae
yHMPu5000034939_komagataella_pseudopastoris_160519.max.cds	Pichiaceae
yHMPu5000034946_ambrosiozyma_oregonensis_160519.max.cds	Pichiaceae
yHMPu5000034947_ambrosiozyma_philentoma_160519.max.cds	Pichiaceae
yHMPu5000034950_citeromyces_hawaiiensis_160519.max.cds	Pichiaceae
yHMPu5000034952_citeromyces_siamensis_160519.max.cds	Pichiaceae
yHMPu5000034957_hanseniaspora_osmophila_160519.max.cds	Saccharomycodaceae
yHMPu5000034963_hanseniaspora_clermontiae_160519.max.cds	Saccharomycodaceae
yHMPu5000034967_candida_freyschussii_160519.max.cds	Phaffomycetaceae
yHMPu5000034973_danielozyma_ontarioensis_160519.max.cds	CUG-Ser1
yHMPu5000034974_deakozyma_indianensis_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000034978_cyberlindnera_mrakii_160519.max.cds	Phaffomycetaceae
yHMPu5000034979_cyberlindnera_misumaiensis_160519.max.cds	Phaffomycetaceae
yHMPu5000034986_candida_oregonensis_160519.max.cds	CUG-Ser1
yHMPu5000034988_candida_fructus_160519.max.cds	CUG-Ser1
yHMPu5000034990_candida_corydali_160519.max.cds	CUG-Ser1
yHMPu5000034998_cephaloascus_albidus_160519.max.cds	CUG-Ser1
yHMPu5000034999_cephaloascus_fragrans_160519.max.cds	CUG-Ser1
yHMPu5000035011_candida_pyralidae_160519.max.cds	CUG-Ser1
yHMPu5000035018_candida_canberraensis_160519.max.cds	CUG-Ser1
yHMPu5000035022_candida_emberorum_160519.max.cds	CUG-Ser1
yHMPu5000035031_candida_kruisii_160519.max.cds	CUG-Ser1
yHMPu5000035032_candida_gatunensis_160519.max.cds	CUG-Ser1
yHMPu5000035033_candida_cretensis_160519.max.cds	CUG-Ser1
yHMPu5000035037_candida_montana_160519.max.cds	Phaffomycetaceae
yHMPu5000035040_ambrosiozyma_maleeae_160519.max.cds	Pichiaceae
yHMPu5000035041_ambrosiozyma_pseudovanderkliftii_160519.max.cds	Pichiaceae
yHMPu5000035044_barnettozyma_californica_160519.max.cds	Phaffomycetaceae
yHMPu5000035045_barnettozyma_hawaiiensis_160613.max.cds	Phaffomycetaceae
yHMPu5000035046_barnettozyma_populi_160613.max.cds	Phaffomycetaceae
yHMPu5000035047_barnettozyma_pratensis_160519.max.cds	Phaffomycetaceae
yHMPu5000035048_barnettozyma_salicaria_160519.max.cds	Phaffomycetaceae
yHMPu5000035242_zygoascus_ofunaensis_160928.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035243_zygoascus_meyerae_160928.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035244_candida_incommunis_160928.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035252_yamadazyma_nakazawae_160928.max.cds	CUG-Ser1
yHMPu5000035261_candida_ponderosae_160928.max.cds	Phaffomycetaceae
yHMPu5000035268_wickerhamomyces_hampshirensis_160928.max.cds	Phaffomycetaceae
yHMPu5000035271_wickerhamomyces_bovis_160928.max.cds	Phaffomycetaceae
yHMPu5000035274_wickerhamomyces_alni_160928.max.cds	Phaffomycetaceae
yHMPu5000035279_tortispora_starmeri_160928.max.cds	Trigonopsidaceae
yHMPu5000035282_trigonopsis_vinaria_160928.max.cds	Trigonopsidaceae
yHMPu5000035286_candida_azyma_160928.max.cds	Phaffomycetaceae
yHMPu5000035296_priceomyces_carsonii_160928.max.cds	CUG-Ser1
yHMPu5000035297_priceomyces_castillae_160928.max.cds	CUG-Ser1
yHMPu5000035301_pichia_terricola_160928.max.cds	Pichiaceae
yHMPu5000035302_candida_fragi_160928.max.cds	CUG-Ser1
yHMPu5000035318_hyphopichia_heimii_160928.max.cds	CUG-Ser1
yHMPu5000035325_cyberlindnera_petersonii_160928.max.cds	Phaffomycetaceae
yHMPu5000035335_candida_blattae_160928.max.cds	CUG-Ser1
yHMPu5000035629_yueomyces_sinensis_160519.max.cds	Saccharomycetaceae
yHMPu5000035633_candida_hispaniensis_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035639_wickerhamomyces_canadensis_160613.max.cds	Phaffomycetaceae
yHMPu5000035640_yamadazyma_philogaea_160519.max.cds	CUG-Ser1
yHMPu5000035641_yamadazyma_scolyti_160613.max.cds	CUG-Ser1
yHMPu5000035643_yarrowia_bubula_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035645_yarrowia_divulgata_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035650_trigonopsis_variabilis_160613.max.cds	Trigonopsidaceae
yHMPu5000035651_torulaspora_microellipsoides_160519.max.cds	Saccharomycetaceae
yHMPu5000035652_torulaspora_maleeae_160613.max.cds	Saccharomycetaceae
yHMPu5000035654_tortispora_ganteri_160519.max.cds	Trigonopsidaceae
yHMPu5000035658_starmera_amethionina_160613.max.cds	Phaffomycetaceae
yHMPu5000035659_saturnispora_dispora_160519.max.cds	Pichiaceae
yHMPu5000035662_meyerozyma_caribbica_160613.max.cds	CUG-Ser1
yHMPu5000035665_middelhovenomyces_tepae_160613.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035667_kurtzmaniella_cleridarum_160928.max.cds	CUG-Ser1
yHMPu5000035670_phaffomyces_opuntiae_160613.max.cds	Phaffomycetaceae
yHMPu5000035671_phaffomyces_antillensis_160613.max.cds	Phaffomycetaceae
yHMPu5000035672_phaffomyces_thermotolerans_160613.max.cds	Phaffomycetaceae
yHMPu5000035673_candida_orba_160613.max.cds	Phaffomycetaceae
yHMPu5000035674_kregervanrija_delftensis_160613.max.cds	Pichiaceae
yHMPu5000035675_kregervanrija_fluxuum_160613.max.cds	Pichiaceae
yHMPu5000035677_kodamaea_ohmeri_160519.max.cds	CUG-Ser1
yHMPu5000035679_candida_rhagii_160613.max.cds	CUG-Ser1
yHMPu5000035681_candida_gotoi_160519.max.cds	CUG-Ser1
yHMPu5000035684_kloeckera_hatyaiensis_160519.max.cds	Saccharomycodaceae
yHMPu5000035686_cyberlindnera_saturnus_160519.max.cds	Phaffomycetaceae
yHMPu5000035687_cyberlindnera_suaveolens_160613.max.cds	Phaffomycetaceae
yHMPu5000035688_cyberlindnera_xylosilytica_160519.max.cds	Phaffomycetaceae
yHMPu5000035689_candida_mycetangii_160613.max.cds	Phaffomycetaceae
yHMPu5000035690_candida_vartiovaarae_160613.max.cds	Phaffomycetaceae
yHMPu5000035691_candida_salmanticensis_160519.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519.max.cds	Saccharomycodaceae
yHMPu5000035696_hanseniaspora_singularis_160519.max.cds	Saccharomycodaceae
yHMPu5000035699_cyberlindnera_maclurae_160613.max.cds	Phaffomycetaceae
yHMPu5000035703_cyberlindnera_americana_160613.max.cds	Phaffomycetaceae
yHMPu5000035707_candida_heveicola_160519.max.cds	CUG-Ser1
yHMPu5000041678_debaryomyces_prosopidis_160928.max.cds	CUG-Ser1
yHMPu5000041693_debaryomyces_nepalensis_160928.max.cds	CUG-Ser1
yHMPu5000041713_debaryomyces_maramus_160928.max.cds	CUG-Ser1
yHMPu5000041743_candida_hawaiiana_160928.max.cds	CUG-Ser1
yHMPu5000041818_magnusiomyces_tetrasperma_160928.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000041822_dipodascus_geniculatus_160928.max.cds	Dipodascaceae/Trichomonascaceae
yHMPu5000041824_debaryomyces_subglobosus_160928.max.cds	CUG-Ser1
yHMPu5000041829_debaryomyces_fabryi_160928.max.cds	CUG-Ser1
yHMPu5000041833_candida_tammaniensis_160928.max.cds	CUG-Ser1
yHMPu5000041840_candida_wancherniae_160928.max.cds	CUG-Ser1
yHMPu5000041855_candida_ascalaphidarum_160928.max.cds	CUG-Ser1
yHMPu5000041862_candida_golubevii_160928.max.cds	CUG-Ser1
yHMPu5000041863_candida_gorgasii_160928.max.cds	CUG-Ser1
zygosaccharomyces_bailii.max.cds	Saccharomycetaceae
zygosaccharomyces_rouxii.max.cds	Saccharomycetaceae
